sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_135957.880.sgy,split_01_ch0400_0805,400,805,0140_RAW_20230719_135957.880,0,split_01_ch0400_0805/0140_RAW_20230719_135957.880/seg_000.png,0,2000,0.0,2.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_135957.880.sgy,split_01_ch0400_0805,400,805,0140_RAW_20230719_135957.880,1,split_01_ch0400_0805/0140_RAW_20230719_135957.880/seg_001.png,1000,3000,1.0,3.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_135957.880.sgy,split_01_ch0400_0805,400,805,0140_RAW_20230719_135957.880,2,split_01_ch0400_0805/0140_RAW_20230719_135957.880/seg_002.png,2000,4000,2.0,4.0,-1429.9,-1014.9,Depth (m)
RAW_20230719_135957.880.sgy,split_01_ch0400_0805,400,805,0140_RAW_20230719_135957.880,3,split_01_ch0400_0805/0140_RAW_20230719_135957.880/seg_003.png,3000,5000,3.0,5.0,-1429.9,-1014.9,Depth (m)
